Name,Movement,Rarity,Type,Special Ability,Attack Wheel Size,Attack Name,Attack Type,Attack Ability,Attack Value,is Gen 1,Evolution,Evolved From,Num Evolutions
Jigglypuff,2,R,Normal / Fairy,None,36.0,Lullaby,Purple,All adjacent Pokémon are Asleep,☆,True,Wigglytuff,,0
Jigglypuff,2,R,Normal / Fairy,None,12.0,Hyper Voice,White,,140,True,Wigglytuff,,0
Jigglypuff,2,R,Normal / Fairy,None,36.0,Double Slap,White,"Spin one more time. If it lands on Double Slap, this attack does 20 more damage",60+,True,Wigglytuff,,0
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,8.0,Miss,Red,,,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,16.0,Water Gun,White,,50,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,48.0,Water Gun,White,,70,True,Poliwrath,Poliwag,1
Poliwhirl,2,UC,Water,Spinning Pattern - This Pokémon's spin will miss by two segments in a clockwise direction,24.0,Hypnosis,Purple,The battle opponent falls asleep,☆☆,True,Poliwrath,Poliwag,1
Onix,2,R,Rock / Ground,None,8.0,Protect,Blue,This Pokémon gains Wait,,True,,,0
Onix,2,R,Rock / Ground,None,56.0,Rock Slide,White,All neigbour Pokémon spin - those that miss are knocked out,80,True,,,0
Onix,2,R,Rock / Ground,None,4.0,Miss,Red,,,True,,,0
Onix,2,R,Rock / Ground,None,28.0,Dig,Purple,This Pokémon moves away from any Pokémon attached to it.,☆☆,True,,,0
Graveler,1,C,Rock / Ground,None,8.0,Miss,Red,,,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,40.0,Rollout,White,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,40x,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,8.0,Miss,Red,,,True,Golem,Geodude,1
Graveler,1,C,Rock / Ground,None,40.0,Landslide,Purple,The battle opponent is knocked 1 step back and gains Wait,☆,True,Golem,Geodude,1
Koffing,2,C,Poison,None,8.0,Miss,Red,,,True,Weezing,,0
Koffing,2,C,Poison,None,44.0,Smog,Purple,The battle opponent is poisoned.,☆,True,Weezing,,0
Koffing,2,C,Poison,None,4.0,Miss,Red,,,True,Weezing,,0
Koffing,2,C,Poison,None,40.0,Sludge,White,"If this Pokémon is knocked out, the battle opponent becomes poisoned",30,True,Weezing,,0
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",32.0,Destiny Bond,White,"If this Pokémon is knocked out, so is the battle opponent",0,True,Haunter,,0
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",48.0,Astonish,White,,20,True,Haunter,,0
Gastly,3,R,Ghost / Poison,"Gaseous Form - This Pokémon cannot surround the opponent's Pokémon, and cannot be surrounded itself. It can also move through other Pokémon when making an MP move",16.0,Miss,Red,,,True,Haunter,,0
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",68.0,Harden,White,"If the battle opponent spins an Attack of 100 damage or less, this Pokémon is not knocked out. While this Pokémon is on the field, the Attacks of this Pokémon, other than Harden, deal +10 damage",0,True,Butterfree,Caterpie,1
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",24.0,Tackle,White,,10,True,Butterfree,Caterpie,1
Metapod,0,UC,Bug,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve.",4.0,Miss,Red,,,True,Butterfree,Caterpie,1
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,8.0,Miss,Red,,,True,Tentacruel,,1
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,52.0,Tentacle Barrage,White,"This move's damage is boosted by the number of Pokémon on the field that know moves that can cause Poison or Toxic status effect, plus 10. If this Pokémon faints, the battle opponent will become Poisoned, If this Pokémon faints, the battle opponent will become Poisoned",40,True,Tentacruel,,0
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,4.0,Miss,Red,,,True,Tentacruel,,0
Tentacool,2,UC,Water / Poison,Form Herd - The 3-Pokémon limit does not apply to this Pokémon,32.0,Poison Sting,Purple,The battle opponent becomes poisoned.,☆,True,Tentacruel,,0
Wartortle,2,C,Water,None,4.0,Miss,Red,,,True,Blastoise,Squirtle,1
Wartortle,2,C,Water,None,8.0,Dodge,Blue,,,True,Blastoise,Squirtle,1
Wartortle,2,C,Water,None,40.0,Water Gun,White,,40,True,Blastoise,Squirtle,1
Wartortle,2,C,Water,None,8.0,Dodge,Blue,,,True,Blastoise,Squirtle,1
Wartortle,2,C,Water,None,36.0,Rapid Spin,White,Spin again until Rapid Spin does not land - damage is multiplied by the number of Rapid Spin spins,20x,True,Blastoise,Squirtle,1
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8.0,Miss,Red,,,True,,Magikarp,1
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",52.0,Hyper Beam,White,"If the battle opponent is knocked out, the next turn will always be the other player's",110,True,,Magikarp,1
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",8.0,Miss,Red,,,True,,Magikarp,1
Gyarados,1,R,Water / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28.0,Storm,Purple,All neighbour Pokémon are moved to the bench and gain Wait.,☆,True,,Magikarp,1
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,12.0,Miss,Red,,,True,,Rhyhorn,0
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,28.0,Horn Drill,Purple,The battle opponent is Knocked Out,☆,True,,Rhyhorn,0
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,8.0,Miss,Red,,,True,,Rhyhorn,0
Rhydon,1,UC,Ground / Rock,Reckless Charge - This Pokémon can move up to 2 steps in a straight line,48.0,Stomp,White,,100,True,,Rhyhorn,0
Golbat,2,UC,Poison / Flying,None,28.0,Leech Life,White,,30,True,,Zubat,1
Golbat,2,UC,Poison / Flying,None,24.0,Bite,White,,60,True,,Zubat,1
Golbat,2,UC,Poison / Flying,None,24.0,Confuse Ray,Purple,,☆☆☆,True,,Zubat,1
Golbat,2,UC,Poison / Flying,None,20.0,Miss,Red,,,True,,Zubat,1
Vaporeon,3,R,Water,None,8.0,Miss,Red,,,True,,Eevee,1
Vaporeon,3,R,Water,None,20.0,Dodge,Blue,,,True,,Eevee,1
Vaporeon,3,R,Water,None,28.0,Water Slide,Purple,The battle opponent is knocked 1 step back and gains Wait,☆,True,,Eevee,1
Vaporeon,3,R,Water,None,40.0,Surf,White,,40,True,,Eevee,1
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,20.0,Dodge,Blue,,,True,,Eevee,1
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,40.0,Thunder Jolt,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes paralyzed.",40,True,,Eevee,1
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,28.0,Quick Attack,Gold,,30,True,,Eevee,1
Jolteon,3,R,Electric,Thunder Rush - This Pokémon can MP Move past Paralyzed Pokémon.,8.0,Miss,Red,,,True,,Eevee,1
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,8.0,Miss,Red,,,True,,Poliwhirl,2
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,36.0,Dynamic Punch,White,,130,True,,Poliwhirl,2
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,8.0,R,Red,,,True,,Poliwhirl,2
Poliwrath,2,R,Water / Fighting,Hypnotic Stare - Any Pokémon that battles this Pokémon will become confused,44.0,Double Slap,White,"Spin again - if Double Slap is spun, it deals 20+ damage",40+,True,,Poliwhirl,2
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",24.0,Psychic,White,,100,True,,Drowzee,1
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",36.0,Sleepwalk,Purple,The battle opponent falls asleep. You may move one Pokémon that is asleep to a point within its MP range. The moved Pokémon gains Wait.,☆☆,True,,Drowzee,1
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",24.0,Psybeam,White,"If this Pokémon is knocked out, the battle opponent becomes confused.",40,True,,Drowzee,1
Hypno,2,R,Psychic,"Spellbind - While this Pokémon is on the field, the Sleep Condition is not removed by the effects of other abilities",12.0,Miss,Red,,,True,,Drowzee,1
Magikarp,2,C,Water,"Rapid Evolution - When this Pokémon faints in battle, you can evolve it without sending it to the P.C.",48.0,Splash,White,,0,True,Gyarados,,0
Magikarp,2,C,Water,"Rapid Evolution - When this Pokémon faints in battle, you can evolve it without sending it to the P.C.",44.0,Flail,White,,10,True,Gyarados,,0
Magikarp,2,C,Water,"Rapid Evolution - When this Pokémon faints in battle, you can evolve it without sending it to the P.C.",4.0,Miss,Red,,,True,Gyarados,,0
Ivysaur,2,C,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",28.0,Vine Whip,White,,40,True,Venusaur,Bulbasaur,1
Ivysaur,2,C,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",24.0,Razor Leaf,White,,60,True,Venusaur,Bulbasaur,1
Ivysaur,2,C,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",28.0,Sleep Powder,Purple,The battle opponent falls asleep.,☆,True,Venusaur,Bulbasaur,1
Ivysaur,2,C,Grass / Poison,"Healing Seed - When this Pokémon is on the field, your Grass-type and Poison-type Pokémon cannot become poisoned or noxious.",16.0,Miss,Red,,,True,Venusaur,Bulbasaur,1
Raichu,2,UC,Electric,Grounding - This Pokémon cannot be Paralysed,8.0,Miss,Red,,,True,,Pikachu,1
Raichu,2,UC,Electric,Grounding - This Pokémon cannot be Paralysed,28.0,Thunder,White,,100,True,,Pikachu,1
Raichu,2,UC,Electric,Grounding - This Pokémon cannot be Paralysed,8.0,Miss,Red,,,True,,Pikachu,1
Raichu,2,UC,Electric,Grounding - This Pokémon cannot be Paralysed,52.0,Thunder Jolt,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes paralyzed.",40,True,,Pikachu,1
Kakuna,0,UC,Bug / Poison,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve",4.0,Miss,Red,,,True,Beedrill,Weedle,1
Kakuna,0,UC,Bug / Poison,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve",64.0,Hard Shelled,White,"Ifthis Pokémon is knocked out, the battle opponent gains an MP-2 marker",0,True,Beedrill,Weedle,1
Kakuna,0,UC,Bug / Poison,"Metamorphosis - If this Pokémon is not knocked out in battle, it can evolve",28.0,Poison Sting,Purple,The opponent Pokémon is now Poisoned,☆,True,Beedrill,Weedle,1
Wigglytuff,2,R,Normal / Fairy,"Hypnotic Voice - The next turn after using this Pokémon, your opponent will be unable to use Plates",8.0,Miss,Red,,,True,,Jigglypuff,1
Wigglytuff,2,R,Normal / Fairy,"Hypnotic Voice - The next turn after using this Pokémon, your opponent will be unable to use Plates",24.0,Round,White,Damage is multiplied by the number of your own Pokémon on the field that also have Round,20x,True,,Jigglypuff,1
Wigglytuff,2,R,Normal / Fairy,"Hypnotic Voice - The next turn after using this Pokémon, your opponent will be unable to use Plates",32.0,Sing,Purple,The battle opponent falls asleep,☆,True,,Jigglypuff,1
Wigglytuff,2,R,Normal / Fairy,"Hypnotic Voice - The next turn after using this Pokémon, your opponent will be unable to use Plates",4.0,Miss,Red,,,True,,Jigglypuff,1
Wigglytuff,2,R,Normal / Fairy,"Hypnotic Voice - The next turn after using this Pokémon, your opponent will be unable to use Plates",28.0,Pound,White,,100,True,,Jigglypuff,1
Exeggutor,1,UC,Grass / Psychic,"Bigg Eggsplosion - Before battle, allows one of friendly Exeggcute to be choosed. If Barrage is spun, it deals +60 damage. If it does, the Exeggcute is Knocked Out",32.0,Barrage,White,,100,True,,Exeggcute,1
Exeggutor,1,UC,Grass / Psychic,"Bigg Eggsplosion - Before battle, allows one of friendly Exeggcute to be choosed. If Barrage is spun, it deals +60 damage. If it does, the Exeggcute is Knocked Out",32.0,Barrage,White,,110,True,,Exeggcute,1
Exeggutor,1,UC,Grass / Psychic,"Bigg Eggsplosion - Before battle, allows one of friendly Exeggcute to be choosed. If Barrage is spun, it deals +60 damage. If it does, the Exeggcute is Knocked Out",28.0,Stun Spore,Purple,The battle opponent becomes paralyzed.,☆,True,,Exeggcute,1
Exeggutor,1,UC,Grass / Psychic,"Bigg Eggsplosion - Before battle, allows one of friendly Exeggcute to be choosed. If Barrage is spun, it deals +60 damage. If it does, the Exeggcute is Knocked Out",4.0,Miss,Red,,,True,,Exeggcute,1
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,28.0,Mysterious Wall,Purple,"The battle opponent, or one opposing Pokémon adjacent to a succession of Pokémon adjacent to this Pokémon, become confused.",☆☆☆,True,,,0
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,4.0,Miss,Red,,,True,,,0
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,28.0,Dodge,Blue,,,True,,,0
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,4.0,Miss,Red,,,True,,,0
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,24.0,Dazzling Gleam,White,"Opposing Pokémon adjacent to this Pokémon spin, and if they spin a Gold Attack, then they are knocked out",50,True,,,0
Mr. Mime,2,R,Psychic / Fairy,Invisible Wall - Opposing Pokémon cannot pass by this Pokémon nor a continuous succession of your Pokémon adjacent to it with an MP move,8.0,Miss,Red,,,True,,,0
Flareon,3,R,Fire,None,12.0,Miss,Red,,,True,,Eevee,1
Flareon,3,R,Fire,None,44.0,Flamethrower,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes burned.",40,True,,Eevee,1
Flareon,3,R,Fire,None,20.0,Focus Energy,White,"Spin again until an attack other than Focus Energy is spun. Damage attacks deal +20 damage,",,True,,Eevee,1
Flareon,3,R,Fire,None,20.0,Dodge,Blue,,,True,,Eevee,1
Arbok,2,UC,Poison,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end",28.0,Dodge,Blue,,,True,,Ekans,1
Arbok,2,UC,Poison,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end",32.0,Glare,Purple,The battle opponent becomes paralyzed.,☆☆,True,,Ekans,1
Arbok,2,UC,Poison,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end",28.0,Poison Fang,White,"If this Pokémon is knocked out, the battle opponent becomes poisoned.",40,True,,Ekans,1
Arbok,2,UC,Poison,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end",8.0,Miss,Red,,,True,,Ekans,1
Magmar,2,R,Fire,Lava Therapy - This Pokémon can't be Frozen or put to Sleep.,52.0,Fire Punch,White,"If this Pokémon is knocked out when using this move, the battle opponent becomes burned.",100,True,,,0
Magmar,2,R,Fire,Lava Therapy - This Pokémon can't be Frozen or put to Sleep.,16.0,Miss,Red,,,True,,,0
Magmar,2,R,Fire,Lava Therapy - This Pokémon can't be Frozen or put to Sleep.,28.0,Confuse Ray,Purple,The battle opponent becomes confused,☆☆☆,True,,,0
Seaking,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",12.0,Dodge,Blue,,,True,,Goldeen,1
Seaking,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",28.0,Megahorn,White,,80,True,,Goldeen,1
Seaking,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",12.0,Miss,Red,,,True,,Goldeen,1
Seaking,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",44.0,Fury Attack,White,Spin again until Fury Attack does not land - damage is multiplied by the number of Fury Attack spins,20x,True,,Goldeen,1
Charmeleon,2,C,Fire,None,8.0,Miss,Red,,,True,Charizard,Charmander,1
Charmeleon,2,C,Fire,None,24.0,Flame,Purple,The battle opponent becomes burned,☆☆,True,Charizard,Charmander,1
Charmeleon,2,C,Fire,None,8.0,Miss,Red,,,True,Charizard,Charmander,1
Charmeleon,2,C,Fire,None,56.0,Iron Tail,White,,50,True,Charizard,Charmander,1
Goldeen,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",8.0,Miss,Red,,,True,Seaking,,0
Goldeen,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",56.0,Waterfall,White,"If the battle opponent is a Water-type Pokémon, this Pokémon takes no damage and moves to a spot beyond the battle opponent.",40,True,Seaking,,0
Goldeen,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",8.0,Miss,Red,,,True,Seaking,,0
Goldeen,2,UC,Water,"Swift Swim - If there is an adjacent Water-type Pokémon, this Pokémon gains +1MP.",24.0,Aqua Tail,White,The battle opponent gains Wait,30,True,Seaking,,0
Zapdos,2,EX,Electric / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Steel Wing,White,,50,True,,,0
Zapdos,2,EX,Electric / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,32.0,Thunder Crash,Gold,,100,True,,,0
Zapdos,2,EX,Electric / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,12.0,Miss,Red,,,True,,,0
Zapdos,2,EX,Electric / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Roost,Blue,"This Pokémon recovers from all status effects. In exchange, it must then Wait 3",,True,,,0
Zapdos,2,EX,Electric / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,20.0,Thunder Charge,Purple,"Attach a Charge Marker to this Pokémon. (Charge Markers can be removed during your turn when a battle starts.) When you remove the Charge Marker, the opposing Pokémon will become Paralyzed, along with any Pokémon in the same row (excluding this one), and the turn will end.",☆☆,True,,,0
Moltres,2,EX,Fire / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Steel Wing,White,,60,True,,,0
Moltres,2,EX,Fire / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,32.0,Crushing Flames,White,,110,True,,,0
Moltres,2,EX,Fire / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,12.0,Miss,Red,,,True,,,0
Moltres,2,EX,Fire / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Roost,Blue,"This Pokémon recovers from all status effects. In exchange, it must then Wait 3",,True,,,0
Moltres,2,EX,Fire / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,20.0,Flame Charge,Purple,"Attach a Charge Marker to this Pokémon. (Charge Markers can be removed during your turn when a battle starts.) When you remove the Charge Marker, the opposing Pokémon will become Burned, along with any Pokémon in the same row (excluding this one), and the turn will end.",☆☆,True,,,0
Articuno,2,EX,Ice / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Steel Wing,White,,130,True,,,0
Articuno,2,EX,Ice / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,32.0,Cold Crush,White,,90,True,,,0
Articuno,2,EX,Ice / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,12.0,Miss,Red,,,True,,,0
Articuno,2,EX,Ice / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,16.0,Roost,Blue,"This Pokémon recovers from all status effects. In exchange, it must then Wait 3",,True,,,0
Articuno,2,EX,Ice / Flying,Soar - This Pokémon can fly over Pokémon that don't have Soar using an MP Move,20.0,Ice Charge,Purple,"Attach a Charge Marker to this Pokémon. (Charge Markers can be removed during your turn when a battle starts.) When you remove the Charge Marker, the opposing Pokémon will become Frozen, along with any Pokémon in the same row (excluding this one), and the turn will end.",☆☆,True,,,0
Dragonair,2,R,Dragon,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end. When you do, you may evolve this Pokémon, if possible. Your turn ends",4.0,Miss,Red,,,True,Dragonite,Dratini,1
Dragonair,2,R,Dragon,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end. When you do, you may evolve this Pokémon, if possible. Your turn ends",32.0,Magnetic Storm,Purple,This Pokémon and all neigbour Pokémon become Paralyzed,☆☆,True,Dragonite,Dratini,1
Dragonair,2,R,Dragon,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end. When you do, you may evolve this Pokémon, if possible. Your turn ends",12.0,Miss,Red,,,True,Dragonite,Dratini,1
Dragonair,2,R,Dragon,"Shed Skin - This Pokémon will recover from any status effect at the start of your turn, and the turn will end. When you do, you may evolve this Pokémon, if possible. Your turn ends",48.0,Dragon Tail,White,Benches your battle opponent (except when opponent has fainted). Your battle opponent must then Wait.,80,True,Dragonite,Dratini,1
Dragonite,1,EX,Dragon / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28.0,Extreme Speed,Gold,,100,True,,Dragonair,2
Dragonite,1,EX,Dragon / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",12.0,Miss,Red,,,True,,Dragonair,2
Dragonite,1,EX,Dragon / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28.0,Sightseeing,Purple,"This Pokémon jumps over the battle opponent and lands 1-2 steps away, then gains Wait",☆,True,,Dragonair,2
Dragonite,1,EX,Dragon / Flying,"Speed Booster - When this Pokémon evolves, it will gain +1 MP",28.0,Dragon Tail,White,Benches your battle opponent (except when opponent has fainted). Your battle opponent must then Wait.,140,True,,Dragonair,2
Gengar,2,EX,Ghost / Poison,"Night Stalker - This Pokémon can pass through other Pokémon when it MP moves. If it passes through Poisoned, noxious or sleeping Pokémon, they will faint.",8.0,Miss,Red,,,True,,Haunter,2
Gengar,2,EX,Ghost / Poison,"Night Stalker - This Pokémon can pass through other Pokémon when it MP moves. If it passes through Poisoned, noxious or sleeping Pokémon, they will faint.",32.0,Contagious Terror,Purple,"The battle opponent, and a succession of opposing Pokémon adjacent to it, gain Wait 3",☆☆,True,,Haunter,2
Gengar,2,EX,Ghost / Poison,"Night Stalker - This Pokémon can pass through other Pokémon when it MP moves. If it passes through Poisoned, noxious or sleeping Pokémon, they will faint.",16.0,Dodge,Blue,,,True,,Haunter,2
